cutoff,approved_pct,defaults_caught_pct,good_declined_pct,losses_prevented,revenue_lost,net_benefit,n_approved,TP,FP,FN
0.05,0.0018333333333333333,1.0,0.9978764478764479,25584000.0,18091500,7492500.0,11,820,5169,0
0.07500000000000001,0.0385,0.9975609756097561,0.9557915057915058,25521600.0,17328500,8193100.0,231,818,4951,2
0.10000000000000002,0.076,0.9939024390243902,0.9129343629343629,25428000.0,16551500,8876500.0,456,815,4729,5
0.12500000000000003,0.10683333333333334,0.9865853658536585,0.8783783783783784,25240800.0,15925000,9315800.0,641,809,4550,11
0.15000000000000002,0.1465,0.974390243902439,0.8343629343629344,24928800.0,15127000,9801800.0,879,799,4322,21
0.17500000000000004,0.1945,0.9536585365853658,0.782046332046332,24398400.0,14178500,10219900.0,1167,782,4051,38
0.20000000000000007,0.2545,0.9231707317073171,0.7173745173745174,23618400.0,13006000,10612400.0,1527,757,3716,63
0.22500000000000003,0.306,0.8987804878048781,0.6615830115830116,22994400.0,11994500,10999900.0,1836,737,3427,83
0.25000000000000006,0.3426666666666667,0.8817073170731707,0.6218146718146718,22557600.0,11273500,11284100.0,2056,723,3221,97
0.2750000000000001,0.37316666666666665,0.8524390243902439,0.5911196911196911,21808800.0,10717000,11091800.0,2239,699,3062,121
0.3000000000000001,0.408,0.8292682926829268,0.5544401544401545,21216000.0,10052000,11164000.0,2448,680,2872,140
0.32500000000000007,0.4513333333333333,0.7731707317073171,0.5131274131274132,19780800.0,9303000,10477800.0,2708,634,2658,186
0.3500000000000001,0.49733333333333335,0.7219512195121951,0.46795366795366794,18470400.0,8484000,9986400.0,2984,592,2424,228
0.3750000000000001,0.5413333333333333,0.6695121951219513,0.4252895752895753,17128800.0,7710500,9418300.0,3248,549,2203,271
0.4000000000000001,0.5803333333333334,0.6231707317073171,0.38745173745173744,15943200.0,7024500,8918700.0,3482,511,2007,309
0.4250000000000001,0.6171666666666666,0.5890243902439024,0.3501930501930502,15069600.0,6349000,8720600.0,3703,483,1814,337
0.4500000000000001,0.65,0.5292682926829269,0.3216216216216216,13540800.0,5831000,7709800.0,3900,434,1666,386
0.47500000000000014,0.7016666666666667,0.4560975609756098,0.27335907335907333,11668800.0,4956000,6712800.0,4210,374,1416,446
0.5000000000000002,0.784,0.3426829268292683,0.19594594594594594,8767200.0,3552500,5214700.0,4704,281,1015,539
0.5250000000000001,0.8793333333333333,0.18902439024390244,0.10984555984555984,4836000.0,1991500,2844500.0,5276,155,569,665
0.5500000000000003,0.9463333333333334,0.06829268292682927,0.051351351351351354,1747200.0,931000,816200.0,5678,56,266,764
0.5750000000000002,0.982,0.026829268292682926,0.016602316602316602,686400.0,301000,385400.0,5892,22,86,798
0.6000000000000002,0.9928333333333333,0.004878048780487805,0.007528957528957529,124800.0,136500,-11700.0,5957,4,39,816
0.6250000000000002,0.9953333333333333,0.003658536585365854,0.004826254826254826,93600.0,87500,6100.0,5972,3,25,817
0.6500000000000002,0.9966666666666667,0.003658536585365854,0.003281853281853282,93600.0,59500,34100.0,5980,3,17,817
0.6750000000000003,0.9983333333333333,0.0,0.0019305019305019305,0.0,35000,-35000.0,5990,0,10,820
0.7000000000000003,0.9988333333333334,0.0,0.0013513513513513514,0.0,24500,-24500.0,5993,0,7,820
0.7250000000000003,0.9995,0.0,0.0005791505791505791,0.0,10500,-10500.0,5997,0,3,820
0.7500000000000002,0.9998333333333334,0.0,0.00019305019305019305,0.0,3500,-3500.0,5999,0,1,820
0.7750000000000002,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
0.8000000000000003,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
0.8250000000000003,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
0.8500000000000003,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
0.8750000000000003,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
0.9000000000000004,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
0.9250000000000004,1.0,0.0,0.0,0.0,0,0.0,6000,0,0,820
